,地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
3295,9,2021/9/27,1740.0,56.4,30.86,85.12%,公寓(5樓含以下無電梯),20+,二層/五層,房地(土地+建物),土:1 建:1車:0,15,,無,無,0,陽台外推;其他增建;
3296,9,2021/6/16,1800.0,63.0,28.58,86.56%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:2 建:1車:0,18,,無,無,0,
3297,9,2020/2/12,1535.0,56.8,27.03,83.99%,公寓(5樓含以下無電梯),20+,二層/四層,房地(土地+建物),土:1 建:1車:0,11,,無,,0,
3298,9,2019/10/1,1100.0,41.3,26.65,83.78%,公寓(5樓含以下無電梯),20+,三層/四層,房地(土地+建物),土:1 建:1車:0,9,,無,,0,
3299,9,2019/3/22,1650.0,63.1,26.15,84.15%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:3 建:1車:0,35,,無,,0,含頂樓增建
3300,9,2023/12/20,1970.0,56.6,34.82,78.49%,公寓(5樓含以下無電梯),20+,四層/五層,房地(土地+建物),土:2 建:1車:0,15,,無,無,0,其他增建;
3301,9,2023/6/17,3300.0,74.9,44.04,77.12%,華廈(10層含以下有電梯),20+,五層/七層,房地(土地+建物),土:2 建:1車:0,15,,有,有,0,陽台外推;
3302,9,2023/3/23,3398.0,72.4,46.93,69.73%,華廈(10層含以下有電梯),20+,五層/七層,房地(土地+建物),土:1 建:1車:0,8,,有,有,0,
3303,9,2021/6/29,3150.0,62.1,50.69,72.88%,華廈(10層含以下有電梯),20+,七層/七層,房地(土地+建物),土:2 建:1車:0,8,,無,有,0,
3304,9,2021/6/5,1800.0,96.8,18.59,71.47%,公寓(5樓含以下無電梯),20+,一層/五層,房地(土地+建物),土:4 建:1車:0,,,無,無,0,平台其他增建;
3305,9,2019/1/15,1288.0,52.0,24.77,88.70%,公寓(5樓含以下無電梯),20+,三層/四層,房地(土地+建物),土:1 建:1車:0,11,,無,,0,
3306,9,2023/10/17,2638.0,78.7,33.53,80.91%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:2 建:1車:0,8,,無,無,0,頂樓加蓋;
3307,9,2023/8/18,2080.0,61.9,33.58,80.77%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:2 建:1車:0,127,,無,無,0,陽台外推;頂樓加蓋;
3308,9,2023/8/7,5600.0,107.3,52.19,50.92%,公寓(5樓含以下無電梯),20+,"一層,停車場/五層",房地(土地+建物),土:2 建:1車:0,100,,無,無,3,
3309,9,2023/8/3,1570.0,59.3,26.49,79.79%,公寓(5樓含以下無電梯),20+,四層/五層,房地(土地+建物),土:1 建:1車:0,27,,無,無,0,
3310,9,2023/5/30,2850.0,96.0,29.68,82.49%,華廈(10層含以下有電梯),20+,一層/七層,房地(土地+建物),土:1 建:1車:0,4,,有,有,1,其他增建;
3311,9,2021/12/16,3000.0,63.9,46.93,69.73%,華廈(10層含以下有電梯),20+,五層/七層,房地(土地+建物),土:1 建:1車:0,15,,有,有,0,陽台外推;
3312,9,2020/10/23,1425.0,76.6,18.59,71.47%,公寓(5樓含以下無電梯),20+,一層/五層,房地(土地+建物),土:4 建:1車:0,4,,無,無,0,
3313,9,2019/11/29,1100.0,41.4,26.57,74.15%,公寓(5樓含以下無電梯),20+,三層/五層,房地(土地+建物),土:2 建:1車:0,31,,無,,0,親友、員工或其他特殊關係間之交易。;
3314,9,2019/11/7,1250.0,57.3,21.83,76.50%,公寓(5樓含以下無電梯),20+,四層/五層,房地(土地+建物),土:2 建:1車:0,15,,無,,0,親友、員工或其他特殊關係間之交易。;
3315,9,2019/5/6,3350.0,94.7,35.38,,店面（店舖),20+,一層/五層,房地(土地+建物),土:1 建:1車:0,10,,無,,0,含增建或未登記建物。;
3316,9,2022/6/28,750.0,22.5,33.35,75.56%,華廈(10層含以下有電梯),20+,四層/七層,房地(土地+建物),土:1 建:1車:0,15,,無,有,0,親友、員工、共有人或其他特殊關係間之交易;
3317,9,2022/2/22,3525.0,74.1,47.6,79.64%,華廈(10層含以下有電梯),20+,四層/七層,房地(土地+建物),土:2 建:1車:0,15,,有,有,0,
3318,9,2021/4/24,1965.0,52.0,37.79,85.33%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:2 建:1車:0,15,,無,無,0,頂樓加蓋;
3319,9,2021/1/12,3200.0,91.7,34.9,84.38%,公寓(5樓含以下無電梯),20+,"一層,停車場/五層",房地(土地+建物),土:1 建:1車:0,4,,無,無,3,其他增建;
3320,9,2019/2/18,2050.0,59.7,34.37,76.11%,公寓(5樓含以下無電梯),20+,二層/五層,房地(土地+建物),土:2 建:1車:0,15,,無,,1,
3321,9,2022/4/7,2550.0,74.8,34.09,80.98%,公寓(5樓含以下無電梯),20+,四層/五層,房地(土地+建物),土:2 建:1車:0,71,,無,無,0,
3322,9,2022/2/19,1900.0,63.9,29.73,73.91%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:1 建:1車:0,15,,無,無,0,頂樓加蓋;其他增建;
3323,9,2021/12/26,3230.0,110.1,29.33,74.91%,公寓(5樓含以下無電梯),20+,一層/五層,房地(土地+建物),土:1 建:1車:0,4,,無,無,1,其他增建;
3324,9,2021/12/18,3900.0,115.2,33.85,81.54%,公寓(5樓含以下無電梯),20+,一層/五層,房地(土地+建物),土:2 建:1車:0,34,,無,無,0,
3325,9,2021/5/3,2688.0,79.2,33.94,72.15%,華廈(10層含以下有電梯),20+,五層/七層,房地(土地+建物),土:1 建:1車:0,15,,有,有,0,其他增建;
3326,9,2021/3/21,2388.0,71.6,33.35,75.56%,華廈(10層含以下有電梯),20+,三層/七層,房地(土地+建物),土:1 建:1車:0,15,,有,有,0,
3327,9,2020/1/15,1988.0,51.0,38.97,81.55%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:1 建:1車:0,15,,有,,0,
3328,9,2019/11/21,1750.0,46.3,37.79,85.33%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:2 建:1車:0,15,,無,,0,含增建或未登記建物。;
3329,9,2021/12/1,787.3,41.5,18.99,80.26%,公寓(5樓含以下無電梯),20+,二層/五層,房地(土地+建物),土:3 建:1車:0,8,,無,無,0,親友、員工、共有人或其他特殊關係間之交易;
3330,9,2021/5/12,1810.0,63.8,28.37,79.37%,公寓(5樓含以下無電梯),20+,四層/五層,房地(土地+建物),土:2 建:1車:0,15,,無,無,0,
3331,9,2021/3/29,2068.0,59.4,34.83,78.05%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:2 建:1車:0,128,,無,無,0,
3332,9,2020/11/8,2038.0,59.6,34.22,82.03%,公寓(5樓含以下無電梯),20+,二層/五層,房地(土地+建物),土:2 建:1車:0,15,,無,無,0,其他增建;
3333,9,2019/10/13,2468.0,71.3,34.62,76.69%,華廈(10層含以下有電梯),20+,三層/七層,房地(土地+建物),土:2 建:1車:0,15,,無,,0,含增建或未登記建物。;
3334,9,2024/1/31,1300.0,17.2,75.73,74.08%,華廈(10層含以下有電梯),20+,七層/七層,房地(土地+建物)+車位,土:1 建:1車:2,17,,有,有,0,親友、員工、共有人或其他特殊關係間之交易;
3335,9,2023/11/10,3505.0,71.4,49.1,76.46%,華廈(10層含以下有電梯),20+,五層/七層,房地(土地+建物),土:2 建:1車:0,15,,無,有,0,陽台外推;其他增建;
3336,9,2020/7/28,1950.0,68.4,28.52,85.07%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:1 建:1車:0,9,,無,無,0,陽台外推;頂樓加蓋;其他增建;
3337,9,2020/7/7,2200.0,55.6,39.59,80.35%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:3 建:1車:0,8,,無,無,0,頂樓加蓋;其他增建;
3338,9,2019/12/23,1950.0,53.7,36.3,74.43%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:2 建:1車:0,71,,無,,0,含增建或未登記建物。
3339,9,2019/7/16,2020.0,59.5,33.94,72.15%,華廈(10層含以下有電梯),20+,二層/七層,房地(土地+建物),土:1 建:1車:0,15,,有,,1,含增建或未登記建物。;
3340,9,2019/5/26,1608.0,62.8,25.61,92.47%,華廈(10層含以下有電梯),20+,五層/七層,房地(土地+建物)+車位,土:2 建:1車:1,11,,無,,0,含增建或未登記建物。;
3341,9,2023/10/19,1680.0,110.1,15.25,73.90%,華廈(10層含以下有電梯),20+,一層/七層,房地(土地+建物),土:1 建:1車:0,4,,有,有,0,
3342,9,2023/6/12,1500.0,17.3,86.87,94.56%,華廈(10層含以下有電梯),20+,七層/七層,房地(土地+建物)+車位,土:1 建:1車:2,38,,有,有,0,親友、員工、共有人或其他特殊關係間之交易;
3343,9,2022/12/26,3730.0,64.9,57.44,73.13%,華廈(10層含以下有電梯),20+,五層/七層,房地(土地+建物),土:1 建:1車:0,19,,有,有,0,其他增建;
3344,9,2022/9/18,1100.0,55.3,19.89,75.62%,華廈(10層含以下有電梯),20+,三層/七層,房地(土地+建物),土:1 建:1車:0,15,,無,有,0,親友、員工、共有人或其他特殊關係間之交易;
3345,9,2022/3/21,3680.0,76.3,48.22,73.56%,華廈(10層含以下有電梯),20+,四層/七層,房地(土地+建物),土:1 建:1車:0,8,,有,有,0,
3346,9,2022/9/6,2788.0,54.7,51.0,50.94%,華廈(10層含以下有電梯),20+,二層/七層,房地(土地+建物),土:2 建:1車:0,15,,有,有,0,陽台外推;其他增建;
3347,9,2021/4/7,2180.0,68.2,31.97,73.96%,華廈(10層含以下有電梯),20+,三層/七層,房地(土地+建物),土:1 建:1車:0,15,,有,有,0,陽台外推;
3348,9,2021/3/1,2623.0,65.6,39.97,76.89%,華廈(10層含以下有電梯),20+,三層/七層,房地(土地+建物),土:1 建:1車:0,15,,有,有,0,
3349,9,2022/8/23,4711.0,50.5,93.31,63.17%,住宅大樓(11層含以上有電梯),20+,十六層/十九層,房地(土地+建物)+車位,土:2 建:2車:2,,,有,有,1,
3350,9,2022/6/28,5988.0,46.5,128.77,70.77%,住宅大樓(11層含以上有電梯),20+,五層/十九層,房地(土地+建物)+車位,土:2 建:2車:2,13,,有,有,1,陽台外推;其他增建;
3351,9,2022/4/11,2460.0,71.4,34.45,72.95%,華廈(10層含以下有電梯),20+,七層/七層,房地(土地+建物),土:2 建:1車:0,63,,無,有,0,親友、員工、共有人或其他特殊關係間之交易;
3352,9,2022/4/8,3000.0,45.0,66.64,70.45%,住宅大樓(11層含以上有電梯),20+,十三層/十九層,房地(土地+建物)+車位,土:2 建:1車:1,,,有,有,1,親友、員工、共有人或其他特殊關係間之交易;
