地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
市民大道六段,2019/1/4,1566,91,19.74,54.89%,住宅大樓(11層含以上有電梯),,三層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,買受人又轉售予第三人 信義區虎林段三小段328地號持分1584/100000預售屋、或土地及建物分件登記案件;
市民大道六段,2019/1/2,1105,90.8,14.69,54.70%,住宅大樓(11層含以上有電梯),,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
市民大道六段,2019/1/1,1088,89.1,14.69,54.70%,住宅大樓(11層含以上有電梯),,三層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,預售屋、或土地及建物分件登記案件;
松隆路,2022/10/7,3230,90,46.57,70.57%,住宅大樓(11層含以上有電梯),26,九層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,190,有,有,住家用,
中坡南路,2021/6/10,2645,75.5,42.39,52.01%,住宅大樓(11層含以上有電梯),,十九層/二十層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,194,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
富陽街,2022/7/23,2168,68.7,42.4,84.50%,華廈(10層含以下有電梯),26,一層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳1衛,200,有,有,商業用,其他增建:陽台隔牆拆除之增建物其他增建;
和平東路,2023/12/15,2488,109.9,23.75,55.38%,住宅大樓(11層含以上有電梯),11,五層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,200,有,有,住家用,塔式車位位於地下二層。夾層;其他增建;
嘉興街,2023/5/15,3188,77,46.54,94.97%,華廈(10層含以下有電梯),29,七層/七層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,200,有,有,住家用,陽台外推;其他增建;
市民大道六段,2022/11/3,1750,102.1,19.74,54.89%,住宅大樓(11層含以上有電梯),1,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1廳1衛,200,有,有,住家用,塔式車位位於地下第三層。
松德路,2020/10/27,3570,103.7,36.97,89.27%,住宅大樓(11層含以上有電梯),30,"一層,二層/十二層",房地(土地+建物)+車位,土:1 建:1車:1,,200,有,有,住商用,
